nav_title,url,page_title,visible_title,summary
Inicio,https://suayed.facmed.unam.mx/,SUAyED | Fac-Med,Misión y Visión de la Facultad de Medicina,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas La Facultad de Medicina de la Universidad Nacional Autónoma de México es una institución pública que forma profesionales altamente calificados, éticos, críticos y humanistas, capaces de investigar y difundir el conocimiento para la solución de problemas de salud y otras áreas científicas en beneficio del ser humano y de la nación. Estar a la vanguardia para ejercer el liderazgo en educación, investigación y difusión en salud y otras áreas científicas en beneficio del ser humano y de la nación."
Aprende en línea,https://suayed.facmed.unam.mx/index.php/aprendeenlinea/,Aprende en línea | SUAyED,Comunidad PREMED,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Es un sitio electrónico que creó la Facultad de Medicina para ayudarte a diagnosticar y revisar los conocimientos del bachillerato que son necesarios para cursar de manera más eficiente las asignaturas al inicio de tu licenciatura. La Facultad de Medicina diseñó este programa para ti, con el propósito de reforzar tus aprendizajes, por medio de tutorías, seminarios y recursos educativos."
Comunidad PREMED,https://suayed.facmed.unam.mx/index.php/aprendeenlinea/premed/,Comunidad PREMED | SUAyED,¿Terminaste el bachillerato?,Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas ¿Deseas ingresar a una licenciatura del área de la salud? ¡Únete a nuestra comunidad y revisa tu salud académica integral!
Ponte en Líne@,https://suayed.facmed.unam.mx/index.php/aprendeenlinea/ponteenlinea/,Ponte en Líne@ | SUAyED,"¿Necesitas preparar, repasar una clase o aprender más?","Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas ¿Necesitas preparar, repasar una clase o aprender más? Si eres estudiante, tus datos de acceso son:"
Asignaturas modalidad en línea,https://suayed.facmed.unam.mx/index.php/aprendeenlinea/molimod/,Asignaturas modalidad en línea | SUAyED,¿Qué es una asignatura optativa?,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Las optativas son asignaturas en las que se pueden abordar contenidos complementarios a las asignaturas obligatorias, ya que poseen un mayor nivel de especificidad respecto a un tema, o bien, tienen contenidos que son producto de investigaciones muy recientes y por ello no necesariamente se encuentran dentro del programa académico. Por esta razón es que las asignaturas optativas, cuentan con temas a profundidad, innovadores y a la vanguardia en la ciencia médica, socio-médica y humanística, contribuyendo a la formación integral del médico cirujano. Actualmente existen 70 optativas que se imparten sólo en modalidad presencial; 32 únicamente en modalidad a distancia (MOLIMOD) y 3 en ambas modalidades."
Periodos intensivos,https://suayed.facmed.unam.mx/index.php/aprendeenlinea/intensivos/,Periodos intensivos | SUAyED,Asignaturas Optativas (MOLIMOD),"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Si eres estudiante de primero a cuarto año de la licenciatura de Médico Cirujano, aprovecha los periodos intensivos y cursa tus asignaturas optativas. Son periodos de dos semanas de trabajo intenso, en los que puedes cursar tus asignaturas optativas. Tienes que dedicar entre tres y cuatro horas diarias para estudiar los contenidos y realizar las actividades de aprendizaje programadas y, de esta manera, cubrir las 34 horas de la asignatura."
FundamentaleSS,https://suayed.facmed.unam.mx/index.php/fundamentaless/,Libros Electrónicos FundamentaleSS | SUAyED,IMPORTANTE:,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Dirigido al alumnado en servicio social de la licenciatura de Médico Cirujano, FacMed-UNAM. El Programa para el fortalecimiento académico del médico pasante y de apoyo a la calidad de su labor asistencial de la Facultad de Medicina de la UNAM se desarrolla a través de tres líneas de acción:"
Facultad de Medicina,https://suayed.facmed.unam.mx/index.php/logratumeta/,Logra tu meta | SUAyED,Los exámenes de autoevaluación “Logra tu Meta”,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas ¿Te interesa ingresar a una especialidad médica ? Prepárate y l ogra tu meta reforzando y orientando tu preparación para el ENARM con los exámenes de autoevaluación , los cuales son gratuitos ."
Escuelas Incorporadas,https://suayed.facmed.unam.mx/index.php/logratumeta-incorporadas/,Logra tu Meta para Escuelas Incorporadas | SUAyED,Los exámenes de autoevaluación “Logra tu Meta”,Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Registro para Escuelas Incorporadas a la UNAM ¿Te interesa ingresar a una especialidad médica?
Normatividad,https://suayed.facmed.unam.mx/index.php/normatividad/,Normatividad | SUAyED,Lineamientos y procedimientos,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas Lineamientos para el desarrollo del MOLIMOD Circuito Escolar 101 Planta baja Ciudad Universitaria, Coyoacán. C.P. 04510."
Acerca de SUAyED FM,https://suayed.facmed.unam.mx/index.php/acerca-de-suayed-fm/,Acerca de SUAyED FM | SUAyED,Acerca de la SUAyED – FM,"Aprende en línea Comunidad PREMED Ponte en Líne@ Asignaturas modalidad en línea Periodos intensivos TUFH Talk │Programa de Inglés Logra tu Meta Facultad de Medicina Escuelas Incorporadas En la Universidad Nacional Autónoma de México, desde hace más de 45 años, el SUAyED se ha comprometido con el desarrollo de proyectos y programas de formación a distancia que tienen como objetivo ampliar la cobertura de educación superior. A la fecha, el Sistema Universidad Abierta y Educación a Distancia de la Facultad de Medicina ofrece a sus estudiantes programas que apoyan su formación profesional en diferentes momentos, tales como “Comunidad Premed», “Ponte en líne@” y «Asignaturas Optativas a Distancia»."
